196	242	3
186	301	3
22	374	1
244	51	2
166	344	1
298	471	4
115	265	2
253	462	5
305	448	3
6	86	3
62	257	2
286	1005	5
200	222	5
210	40	3
224	29	3
303	779	3
122	384	5
194	273	2
291	1033	4
234	1175	2
119	389	4
167	483	4
299	144	4
291	118	2
308	1	4
95	542	2
38	95	5
102	762	2
63	276	4
160	234	5
50	246	3
301	98	4
225	193	4
290	88	4
97	194	3
157	273	4
181	1072	1
278	599	5
276	790	1
7	32	4
10	16	4
284	302	4
201	971	2
276	560	3
287	325	5
246	201	5
242	1128	5
249	241	5
99	4	5
178	330	3
251	100	4
81	429	2
260	320	4
25	181	5
59	196	5
72	674	2
87	381	4
290	143	5
42	420	5
292	511	4
115	20	3
20	287	1
201	219	4
13	522	3
246	911	4
138	26	5
167	232	1
60	424	5
57	302	5
223	273	4
189	508	4
243	15	3
92	1040	1
246	413	3
194	165	4
241	684	2
178	248	4
254	1434	3
293	5	3
127	229	5
225	237	5
299	229	3
225	477	5
276	54	3
291	144	5
222	363	4
267	514	5
42	400	3
11	111	4
95	621	4
8	336	4
162	25	4
87	1007	4
279	154	5
145	274	2
119	1144	5
62	495	4
62	379	3
28	209	4
135	23	4
32	293	3
90	379	5
286	208	4
293	679	3
216	144	4
166	326	5
250	493	4
271	132	5
160	174	5
265	118	4
198	495	3
42	96	5
168	151	5
110	305	4
58	144	4
90	644	4
271	344	4
62	21	3
279	826	3
237	510	4
94	783	4
128	482	3
298	315	4
44	195	5
264	200	5
194	382	2
72	195	5
222	744	5
250	264	3
41	265	3
224	245	3
82	135	3
262	1138	4
293	468	3
216	654	3
250	140	3
59	23	5
286	376	5
244	809	4
7	476	4
174	365	1
87	273	4
194	1202	2
82	1125	2
13	830	2
13	271	4
244	750	2
305	424	5
95	781	2
43	14	2
299	947	4
57	416	3
84	402	3
269	500	4
299	111	3
194	463	4
160	135	4
99	246	3
10	483	4
259	117	4
85	424	3
303	911	4
213	272	5
121	510	3
90	98	5
49	555	2
42	788	3
155	321	2
68	117	4
172	177	4
19	4	4
268	231	4
5	2	3
305	117	2
44	293	4
43	137	4
279	1326	1
80	463	5
254	164	4
298	280	3
279	1231	1
66	297	4
18	440	3
268	1026	2
99	79	4
13	98	4
26	258	3
7	452	4
222	749	4
200	668	5
119	326	4
213	172	5
276	320	3
94	1208	3
130	376	4
38	326	4
160	713	3
293	1257	3
26	922	2
130	216	4
92	1070	3
256	449	4
1	61	4
72	48	4
56	749	3
13	357	4
15	402	2
92	77	3
207	473	2
292	174	5
232	480	5
251	742	2
224	26	3
181	220	4
259	255	4
305	468	4
52	279	3
161	202	5
148	405	5
125	235	2
97	228	5
58	1089	4
83	234	4
90	345	4
272	178	5
194	181	3
125	475	4
110	682	1
299	14	4
151	10	5
269	127	4
6	14	5
54	106	3
303	69	5
16	936	1
301	784	4
276	1082	3
305	214	2
194	1019	2
91	321	2
87	550	4
294	109	4
286	171	4
200	316	5
229	326	1
178	564	4
303	836	2
62	65	4
207	587	3
92	172	4
301	398	4
36	337	5
70	740	3
63	242	3
28	201	3
279	68	4
250	7	4
14	98	3
299	1009	3
194	54	3
303	809	3
119	237	5
295	218	5
268	922	2
268	2	2
66	258	4
233	202	5
83	619	4
214	332	3
192	473	2
100	342	4
268	145	1
301	56	4
307	89	5
234	141	3
83	572	4
181	264	2
297	133	4
38	153	5
7	379	4
264	807	4
181	865	1
201	146	1
85	503	4
269	364	3
59	465	3
286	143	4
193	96	1
113	591	5
292	11	5
130	1005	3
275	98	4
189	516	5
219	82	1
218	209	5
123	424	3
119	222	5
158	177	4
222	118	4
302	320	2
279	497	3
301	79	5
181	3	2
201	689	1
13	198	3
1	189	3
145	237	5
23	382	4
201	761	4
296	699	5
42	542	3
33	865	3
301	550	3
16	64	5
95	135	3
154	354	4
77	481	5
296	504	5
302	296	2
244	668	3
222	77	4
13	215	5
16	699	5
270	449	4
145	15	2
187	64	5
200	302	5
170	743	5
101	823	3
184	218	3
128	204	4
181	1285	1
184	153	3
1	33	4
1	160	4
184	319	5
54	591	3
94	341	4
128	504	4
23	321	2
301	227	3
301	191	3
112	895	1
82	183	3
222	718	3
218	427	3
308	1188	4
303	134	5
133	745	3
215	212	2
69	256	5
254	658	4
276	2	4
104	976	1
63	1058	3
267	407	4
13	56	5
240	872	3
286	237	2
294	270	5
90	1077	4
18	26	4
92	229	3
308	645	4
144	89	3
191	301	4
59	943	3
200	96	5
16	197	5
61	673	3
271	199	4
271	703	3
142	169	5
275	593	3
222	151	3
87	40	3
207	258	4
272	1383	2
177	331	4
207	1106	2
299	573	3
271	375	4
305	422	4
49	951	2
94	1215	3
130	1008	3
10	175	3
203	319	3
191	285	4
43	321	3
21	554	5
197	96	5
13	342	2
194	66	3
234	206	4
308	399	4
308	636	4
269	518	5
94	265	4
268	62	3
272	12	5
121	290	3
296	20	5
134	285	3
180	459	5
234	608	3
104	117	2
38	752	1
269	839	1
7	163	4
234	1441	3
275	402	2
52	250	3
102	817	3
13	186	4
178	725	4
236	71	3
256	775	5
263	176	5
244	186	3
279	1172	4
43	809	4
83	78	2
151	197	5
254	433	2
109	627	3
297	710	3
249	188	4
144	693	4
301	600	4
64	389	3
92	497	2
222	97	4
268	433	3
293	135	5
213	173	5
160	457	2
13	495	4
59	709	5
5	17	4
125	163	5
174	313	5
114	501	3
213	511	4
23	196	2
128	15	4
239	56	4
181	278	1
291	80	4
250	238	4
201	645	3
60	60	5
181	323	2
119	404	3
287	1	5
216	228	3
216	527	4
203	468	4
92	583	3
13	884	3
213	176	4
286	287	5
117	1038	2
99	111	1
11	554	3
65	47	2
295	194	4
269	217	2
85	259	2
250	592	5
137	144	5
201	952	2
257	137	4
111	326	4
91	477	4
215	211	4
181	930	1
189	1051	5
1	20	4
303	401	4
299	303	3
187	210	4
222	277	2
214	564	4
293	764	3
285	191	4
303	252	3
96	156	4
72	1101	3
115	1058	4
7	427	3
116	347	3
73	477	4
269	246	5
263	416	5
70	428	3
221	472	4
72	182	5
25	354	4
290	50	5
189	522	4
299	296	3
264	293	3
200	362	5
187	135	4
184	187	4
63	288	2
13	229	4
298	483	3
235	185	4
62	706	4
246	94	2
54	736	5
63	756	3
11	726	3
92	168	4
8	546	3
307	174	4
303	200	4
256	843	2
72	54	3
164	403	2
117	150	4
224	77	4
193	862	3
94	184	2
281	336	2
130	109	3
128	368	1
94	714	1
182	839	3
129	866	1
254	229	4
64	378	4
151	176	2
45	25	4
193	872	3
276	914	4
276	57	3
234	187	4
181	304	1
21	367	1
293	249	3
264	715	5
10	607	5
197	344	3
276	142	3
308	424	4
221	935	4
131	126	4
268	818	2
109	8	3
198	58	3
230	266	4
181	735	1
192	1052	4
234	445	3
90	892	4
193	933	4
128	599	5
126	897	2
244	265	4
90	288	3
157	25	3
305	71	3
119	379	5
21	222	2
231	181	4
280	504	3
288	132	3
279	1487	2
301	33	4
72	693	3
90	259	2
308	55	3
59	736	3
94	738	4
130	638	4
26	1006	3
56	121	5
82	504	2
62	12	4
276	40	3
181	1006	1
152	300	3
178	839	4
217	593	4
79	296	4
138	481	4
308	81	5
75	283	2
269	198	4
307	94	3
222	775	3
121	734	3
269	22	1
13	858	4
230	736	5
269	503	4
239	1090	5
245	1019	5
56	542	3
295	953	5
271	1019	2
222	806	2
69	240	3
10	7	4
22	373	3
294	923	3
82	711	1
279	396	4
269	234	1
6	98	5
243	1030	4
298	181	4
282	323	1
78	321	1
118	200	5
283	1105	5
171	291	4
70	217	4
10	100	5
245	181	4
107	331	3
246	557	1
13	893	1
276	70	4
244	17	2
189	56	5
226	242	5
62	1007	4
276	414	4
214	475	4
306	235	4
222	26	3
280	627	5
60	427	5
56	71	4
42	273	5
1	202	5
13	803	4
173	288	4
15	743	1
185	23	4
280	536	3
244	378	4
150	292	4
7	494	4
178	315	4
178	736	3
95	1208	3
234	1452	3
97	222	5
109	127	2
117	246	5
269	699	2
130	1237	3
264	651	4
207	13	3
42	584	5
246	406	2
87	364	4
101	302	3
256	127	4
92	788	3
181	756	2
213	235	1
92	733	2
292	657	5
246	661	4
274	839	5
188	686	5
18	86	4
5	436	1
236	628	3
193	404	4
144	703	4
90	1189	5
48	605	4
5	225	2
22	128	5
311	429	4
8	22	5
276	188	4
222	173	5
72	859	4
299	134	4
1	171	5
308	294	3
165	216	4
222	49	3
181	121	4
200	11	5
234	622	4
244	701	4
90	25	5
208	216	5
263	96	4
134	321	4
279	582	4
2	291	4
288	589	2
49	301	4
286	153	5
205	302	3
22	80	4
234	316	4
223	326	3
15	25	3
268	147	4
94	1211	3
274	402	4
7	489	5
268	217	2
16	55	5
164	616	3
290	161	4
92	511	4
239	1061	5
56	446	5
248	234	4
234	10	3
280	1040	2
308	187	5
276	64	5
192	940	3
122	505	4
85	584	3
262	923	2
201	271	3
181	863	2
295	733	4
263	564	4
295	39	4
201	1091	4
93	814	3
159	1019	5
158	661	2
293	420	3
82	593	3
276	181	5
13	817	5
217	2	3
83	656	4
189	20	5
222	790	4
146	1013	5
267	121	3
126	293	3
181	1051	1
125	80	4
43	120	4
13	774	1
253	259	2
42	44	3
77	514	4
291	680	5
268	21	3
262	28	3
234	81	3
29	245	3
236	57	5
158	723	3
156	657	4
232	52	5
168	859	5
37	287	4
141	245	3
235	230	4
102	70	3
77	172	3
90	502	5
186	562	5
44	656	5
118	768	5
7	657	5
49	871	2
62	68	1
42	1019	4
178	430	4
85	51	2
77	471	5
58	1090	2
56	1038	4
197	682	1
286	99	4
90	258	3
181	1278	1
295	190	4
224	69	4
272	315	4
221	1001	3
66	870	1
207	316	5
234	484	3
7	644	5
87	82	5
195	1043	1
44	446	5
306	286	4
194	172	3
94	62	3
167	655	4
108	100	4
230	302	5
181	919	1
54	301	4
90	22	4
181	690	2
286	354	4
14	268	4
311	179	2
92	121	5
21	437	1
244	546	1
181	402	4
65	800	4
37	536	2
44	440	5
244	183	4
1	265	4
